Ã - [0x00000000D0][0x000000000A]  /Atilde 
Ä - [0x00000000D1][0x0000000005]  /Adieresis 
Å - [0x00000000D2][0x0000000009]  /Aring 
Æ - [0x00000000D3][0x000000000B]  /AE 
Ç - [0x00000000D4][0x0000000012]  /Ccedilla 
È - [0x00000000D5][0x0000000021]  /Egrave 
É - [0x00000000D6][0x000000001A]  /Eacute 
Ê - [0x00000000D7][0x000000001D]  /Ecircumflex 
Ë - [0x00000000D8][0x000000001E]  /Edieresis 
Ì - [0x00000000D9][0x0000000035]  /Igrave 
Í - [0x00000000DA][0x0000000030]  /Iacute 
Î - [0x00000000DB][0x0000000032]  /Icircumflex 
Ï - [0x00000000DC][0x0000000033]  /Idieresis 
Ð - [0x00000000DD][0x0000000016]  /Eth 
Ñ - [0x00000000DE][0x0000000049]  /Ntilde 
Ò - [0x00000000E0][0x0000000051]  /Ograve 
Ó - [0x00000000E1][0x000000004C]  /Oacute 
Ô - [0x00000000E2][0x000000004E]  /Ocircumflex 
Õ - [0x00000000E3][0x0000000056]  /Otilde 
Ö - [0x00000000E4][0x0000000050]  /Odieresis 
× - [0x00000000E5][0x0000000701]  /multiply 
Ø - [0x00000000E6][0x0000000054]  /Oslash 
Ù - [0x00000000E7][0x0000000072]  /Ugrave 
Ú - [0x00000000E8][0x000000006D]  /Uacute 
Û - [0x00000000E9][0x0000000070]  /Ucircumflex 
Ü - [0x00000000EA][0x0000000071]  /Udieresis 
Ý - [0x00000000EB][0x0000000081]  /Yacute 
Þ - [0x00000000EC][0x0000000059]  /Thorn 
ß - [0x00000000ED][0x000000010C]  /germandbls 
à - [0x00000000EE][0x0000000098]  /agrave 
á - [0x0000000100][0x0000000094]  /aacute 
â - [0x0000000101][0x0000000096]  /acircumflex 
ã - [0x0000000102][0x000000009C]  /atilde 
ä - [0x0000000103][0x0000000097]  /adieresis 
å - [0x0000000104][0x000000009B]  /aring 
æ - [0x0000000105][0x000000009D]  /ae 
ç - [0x0000000106][0x00000000A4]  /ccedilla 
è - [0x0000000107][0x00000000B3]  /egrave 
é - [0x0000000108][0x00000000AC]  /eacute 
ê - [0x0000000109][0x00000000B0]  /ecircumflex 
ë - [0x000000010A][0x00000000B1]  /edieresis 
ì - [0x000000010B][0x00000000C7]  /igrave 
í - [0x000000010C][0x00000000C2]  /iacute 
î - [0x000000010D][0x00000000C4]  /icircumflex 
ï - [0x000000010E][0x00000000C5]  /idieresis 
ð - [0x0000000110][0x00000000A8]  /eth 
ñ - [0x0000000111][0x00000000E0]  /ntilde 
ò - [0x0000000112][0x00000000E7]  /ograve 
ó - [0x0000000113][0x00000000E3]  /oacute 
ô - [0x0000000114][0x00000000E5]  /ocircumflex 
õ - [0x0000000115][0x00000000EC]  /otilde 
ö - [0x0000000116][0x00000000E6]  /odieresis 
÷ - [0x0000000117][0x0000000702]  /divide 
ø - [0x0000000118][0x00000000EA]  /oslash 
ù - [0x0000000119][0x0000000118]  /ugrave 
ú - [0x000000011A][0x0000000114]  /uacute 
û - [0x000000011B][0x0000000116]  /ucircumflex 
ü - [0x000000011C][0x0000000117]  /udieresis 
ý - [0x000000011D][0x0000000127]  /yacute 
þ - [0x000000011E][0x0000000100]  /thorn 
ÿ - [0x0000000120][0x0000000129]  /ydieresis 
Ā - [0x0000000121][0x0000000007]  /Amacron 
ā - [0x0000000122][0x0000000099]  /amacron 
Ă - [0x0000000123][0x0000000003]  /Abreve 
ă - [0x0000000124][0x0000000095]  /abreve 
Ą - [0x0000000125][0x0000000008]  /Aogonek 
ą - [0x0000000126][0x000000009A]  /aogonek 
Ć - [0x0000000127][0x0000000010]  /Cacute 
ć - [0x0000000128][0x00000000A2]  /cacute 
Ĉ - [0x0000000129][0x0000000013]  /Ccircumflex 
ĉ - [0x000000012A][0x00000000A5]  /ccircumflex 
Ċ - [0x000000012B][0x0000000014]  /Cdotaccent 
ċ - [0x000000012C][0x00000000A6]  /cdotaccent 
Č - [0x000000012D][0x0000000011]  /Ccaron 
č - [0x000000012E][0x00000000A3]  /ccaron 
Ď - [0x0000000130][0x0000000017]  /Dcaron 
ď - [0x0000000131][0x00000000A9]  /dcaron 
Đ - [0x0000000132][0x0000000018]  /Dcroat 
đ - [0x0000000133][0x00000000AA]  /dcroat 
Ē - [0x0000000134][0x0000000022]  /Emacron 
ē - [0x0000000135][0x00000000B4]  /emacron 
Ĕ - [0x0000000136][0x000000001B]  /Ebreve 
ĕ - [0x0000000137][0x00000000AD]  /ebreve 
Ė - [0x0000000138][0x0000000020]  /Edotaccent 
ė - [0x0000000139][0x00000000B2]  /edotaccent 
Ę - [0x000000013A][0x0000000023]  /Eogonek 
ę - [0x000000013B][0x00000000B5]  /eogonek 
Ě - [0x000000013C][0x000000001C]  /Ecaron 
ě - [0x000000013D][0x00000000AE]  /ecaron 
Ĝ - [0x000000013E][0x0000000027]  /Gcircumflex 
ĝ - [0x0000000140][0x00000000B9]  /gcircumflex 
Ğ - [0x0000000141][0x0000000026]  /Gbreve 
ğ - [0x0000000142][0x00000000B8]  /gbreve 
Ġ - [0x0000000143][0x0000000029]  /Gdotaccent 
ġ - [0x0000000144][0x00000000BB]  /gdotaccent 
Ģ - [0x0000000145][0x0000000028]  /uni0122 
ģ - [0x0000000146][0x00000000BA]  /uni0123 
Ĥ - [0x0000000147][0x000000002C]  /Hcircumflex 
ĥ - [0x0000000148][0x00000000BE]  /hcircumflex 
Ħ - [0x0000000149][0x000000002B]  /Hbar 
ħ - [0x000000014A][0x00000000BD]  /hbar 
Ĩ - [0x000000014B][0x0000000038]  /Itilde 
ĩ - [0x000000014C][0x00000000CB]  /itilde 
Ī - [0x000000014D][0x0000000036]  /Imacron 
ī - [0x000000014E][0x00000000C9]  /imacron 
Ĭ - [0x0000000150][0x0000000031]  /Ibreve 
ĭ - [0x0000000151][0x00000000C3]  /ibreve 
Į - [0x0000000152][0x0000000037]  /Iogonek 
į - [0x0000000153][0x00000000CA]  /iogonek 
İ - [0x0000000154][0x0000000034]  /Idotaccent 
ı - [0x0000000155][0x00000000C1]  /dotlessi 
Ĳ - [0x0000000156][0x000000002E]  /IJ 
ĳ - [0x0000000157][0x00000000C8]  /ij 
Ĵ - [0x0000000158][0x000000003A]  /Jcircumflex 
ĵ - [0x0000000159][0x00000000CE]  /jcircumflex 
Ķ - [0x000000015A][0x000000003C]  /uni0136 
ķ - [0x000000015B][0x00000000D1]  /uni0137 
ĸ - [0x000000015C][0x00000000D2]  /kgreenlandic 
Ĺ - [0x000000015D][0x000000003E]  /Lacute 
ĺ - [0x000000015E][0x00000000D4]  /lacute 
Ļ - [0x0000000160][0x0000000041]  /uni013B 
ļ - [0x0000000161][0x00000000D6]  /uni013C 
Ľ - [0x0000000162][0x0000000040]  /Lcaron 
ľ - [0x0000000163][0x00000000D5]  /lcaron 
Ŀ - [0x0000000164][0x0000000042]  /Ldot 
ŀ - [0x0000000165][0x00000000D7]  /ldot 
Ł - [0x0000000166][0x0000000043]  /Lslash 
ł - [0x0000000167][0x00000000D8]  /lslash 
Ń - [0x0000000168][0x0000000046]  /Nacute 
ń - [0x0000000169][0x00000000DB]  /nacute 
Ņ - [0x000000016A][0x0000000048]  /uni0145 
ņ - [0x000000016B][0x00000000DE]  /uni0146 
Ň - [0x000000016C][0x0000000047]  /Ncaron 
ň - [0x000000016D][0x00000000DD]  /ncaron 
ŉ - [0x000000016E][0x00000000DC]  /napostrophe 
Ŋ - [0x0000000170][0x000000004A]  /Eng 
ŋ - [0x0000000171][0x00000000E1]  /eng 
Ō - [0x0000000172][0x0000000053]  /Omacron 
ō - [0x0000000173][0x00000000E9]  /omacron 
Ŏ - [0x0000000174][0x000000004D]  /Obreve 
ŏ - [0x0000000175][0x00000000E4]  /obreve 
Ő - [0x0000000176][0x0000000052]  /Ohungarumlaut 
ő - [0x0000000177][0x00000000E8]  /ohungarumlaut 
Œ - [0x0000000178][0x0000000057]  /OE 
œ - [0x0000000179][0x00000000ED]  /oe 
Ŕ - [0x000000017A][0x000000005C]  /Racute 
ŕ - [0x000000017B][0x0000000103]  /racute 
Ŗ - [0x000000017C][0x000000005E]  /uni0156 
ŗ - [0x000000017D][0x0000000105]  /uni0157 
Ř - [0x000000017E][0x000000005D]  /Rcaron 
